id	title	canon	vol	no	current_layer	recommended_layer	recommended_layer_value	confidence	reason	current_note
B10n0052	緣起讚	B	10	52	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
B21n0116	金剛般若波羅蜜經集註	B	21	116	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于般若系大乘经典、释论或注疏，归第5层。
B35n0195	頓悟大乘政理決	B	35	195	5	第7层	7	medium	补编、续藏、嘉兴藏或善本中的佛教著述，多为宗派注疏、语录、仪轨或后期整理文献。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
B07n0021	毒語心經	B	7	21	5	第7层	7	medium	题名显示为汉地晚出、疑伪、佛名/咒愿/民间信仰或宗派流通经典，主要属东亚宗派与民间佛教发展阶段。	题名属于般若系大乘经典、释论或注疏，归第5层。
B07n0022	新譯薄伽梵母智慧到彼岸心經詮釋	B	7	22	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于般若系大乘经典、释论或注疏，归第5层。
B07n0023	金剛般若波羅蜜經講義	B	7	23	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于般若系大乘经典、释论或注疏，归第5层。
B07n0024	佛說阿彌陀經註釋會要	B	7	24	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
B09n0032	七十空性論科攝	B	9	32	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
B09n0046	中論略義	B	9	46	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于中观、般若或瑜伽行基础论书系统，归第5层。
B09n0047	中論文句釋	B	9	47	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于中观、般若或瑜伽行基础论书系统，归第5层。
J31nB269	金剛般若經疏論纂要刊定記會編	J	31	B269	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于般若系大乘经典、释论或注疏，归第5层。
T10n0279	大方廣佛華嚴經	T	10	279	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T10n0280	佛說兜沙經	T	10	280	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0281	佛說菩薩本業經	T	10	281	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0282	諸菩薩求佛本業經	T	10	282	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0283	菩薩十住行道品	T	10	283	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0284	佛說菩薩十住經	T	10	284	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0285	漸備一切智德經	T	10	285	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0286	十住經	T	10	286	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0287	佛說十地經	T	10	287	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T10n0288	等目菩薩所問三昧經	T	10	288	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0289	顯無邊佛土功德經	T	10	289	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0290	佛說較量一切佛剎功德經	T	10	290	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0291	佛說如來興顯經	T	10	291	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0292	度世品經	T	10	292	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0293	大方廣佛華嚴經	T	10	293	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T10n0294	佛說羅摩伽經	T	10	294	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0295	大方廣佛華嚴經入法界品	T	10	295	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T10n0296	文殊師利發願經	T	10	296	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0297	普賢菩薩行願讚	T	10	297	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0298	大方廣普賢所說經	T	10	298	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0299	大方廣總持寶光明經	T	10	299	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0300	大方廣佛華嚴經不思議佛境界分	T	10	300	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T10n0301	大方廣如來不思議境界經	T	10	301	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0302	度諸佛境界智光嚴經	T	10	302	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0303	佛華嚴入如來德智不思議境界經	T	10	303	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T10n0304	大方廣入如來智德不思議經	T	10	304	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0305	信力入印法門經	T	10	305	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0306	大方廣佛花嚴經修慈分	T	10	306	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T10n0307	佛說莊嚴菩提心經	T	10	307	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于般若系大乘经典、释论或注疏，归第5层。
T10n0308	佛說大方廣菩薩十地經	T	10	308	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T10n0309	最勝問菩薩十住除垢斷結經	T	10	309	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0310	大寶積經	T	11	310	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T11n0311	大方廣三戒經	T	11	311	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0312	佛說如來不思議祕密大乘經	T	11	312	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0313	阿閦佛國經	T	11	313	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0314	佛說大乘十法經	T	11	314	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0315a	佛說普門品經	T	11	315a	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0315b	佛說普門品經	T	11	315b	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0316	佛說大乘菩薩藏正法經	T	11	316	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0317	佛說胞胎經	T	11	317	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0318	文殊師利佛土嚴淨經	T	11	318	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0319	大聖文殊師利菩薩佛剎功德莊嚴經	T	11	319	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T11n0320	父子合集經	T	11	320	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0321	佛說護國尊者所問大乘經	T	12	321	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0322	法鏡經	T	12	322	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0323	郁迦羅越問菩薩行經	T	12	323	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0324	佛說幻士仁賢經	T	12	324	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0325	佛說決定毘尼經	T	12	325	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0326	佛說三十五佛名禮懺文	T	12	326	5	第7层	7	medium	题名显示为汉地晚出、疑伪、佛名/咒愿/民间信仰或宗派流通经典，主要属东亚宗派与民间佛教发展阶段。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0327	發覺淨心經	T	12	327	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于般若系大乘经典、释论或注疏，归第5层。
T12n0328	佛說須賴經	T	12	328	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0329	佛說須賴經	T	12	329	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0330	佛說菩薩修行經	T	12	330	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0331	佛說無畏授所問大乘經	T	12	331	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0332	佛說優填王經	T	12	332	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0333	佛說大乘日子王所問經	T	12	333	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0334	佛說須摩提菩薩經	T	12	334	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0335	佛說須摩提菩薩經	T	12	335	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0336	須摩提經	T	12	336	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0337	佛說阿闍貰王女阿術達菩薩經	T	12	337	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0338	佛說離垢施女經	T	12	338	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0339	得無垢女經	T	12	339	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0340	文殊師利所說不思議佛境界經	T	12	340	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0341	聖善住意天子所問經	T	12	341	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0342	佛說如幻三昧經	T	12	342	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0343	佛說太子刷護經	T	12	343	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0344	佛說太子和休經	T	12	344	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0345	慧上菩薩問大善權經	T	12	345	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0346	佛說大方廣善巧方便經	T	12	346	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0347	大乘顯識經	T	12	347	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0348	佛說大乘方等要慧經	T	12	348	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0349	彌勒菩薩所問本願經	T	12	349	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0350	佛說遺日摩尼寶經	T	12	350	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0351	佛說摩訶衍寶嚴經	T	12	351	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0352	佛說大迦葉問大寶積正法經	T	12	352	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0353	勝鬘師子吼一乘大方便方廣經	T	12	353	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0354	毘耶娑問經	T	12	354	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0355	入法界體性經	T	12	355	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0356	佛說寶積三昧文殊師利菩薩問法身經	T	12	356	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0357	如來莊嚴智慧光明入一切佛境界經	T	12	357	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0358	度一切諸佛境界智嚴經	T	12	358	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0359	佛說大乘入諸佛境界智光明莊嚴經	T	12	359	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0360	佛說無量壽經	T	12	360	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0361	佛說無量清淨平等覺經	T	12	361	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0362	佛說阿彌陀三耶三佛薩樓佛檀過度人道經	T	12	362	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0363	佛說大乘無量壽莊嚴經	T	12	363	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0364	佛說大阿彌陀經	T	12	364	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0365	佛說觀無量壽佛經	T	12	365	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0366	佛說阿彌陀經	T	12	366	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0367	稱讚淨土佛攝受經	T	12	367	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0368	拔一切業障根本得生淨土神呪	T	12	368	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0369	阿彌陀佛說呪	T	12	369	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0370	阿彌陀鼓音聲王陀羅尼經	T	12	370	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0371	觀世音菩薩授記經	T	12	371	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0372	佛說如幻三摩地無量印法門經	T	12	372	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0373	後出阿彌陀佛偈	T	12	373	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
